,Category,Reaction Popularity,Month
4413,science,45,2
4414,science,15,5
4415,science,75,8
4416,science,20,7
4417,science,72,12
4418,science,12,3
4419,science,70,4
4420,science,65,3
4421,science,70,1
4422,science,60,2
4423,science,30,11
4424,science,35,7
4425,travel,70,5
4426,travel,72,1
4427,travel,20,8
4428,travel,12,10
4429,travel,45,11
4430,travel,60,7
4431,travel,70,8
4432,travel,50,8
4433,travel,70,7
4434,travel,60,2
4435,travel,60,7
4436,travel,12,5
4437,travel,70,1
4438,travel,35,5
4439,travel,20,4
4440,travel,30,7
4441,travel,45,5
4442,travel,35,7
4443,travel,35,10
4444,travel,70,6
4445,travel,60,9
4446,travel,15,4
4447,travel,5,6
4448,travel,70,1
4449,travel,30,9
4450,travel,30,3
4451,food,5,6
4452,food,30,9
4453,food,60,2
4454,food,20,9
4455,food,60,5
4456,food,10,5
4457,food,45,5
4458,food,65,4
4459,food,50,3
4460,food,35,12
4461,food,45,4
4462,food,5,12
4463,food,35,3
4464,food,65,9
4465,food,20,3
4466,food,30,2
4467,food,0,6
4468,food,0,4
4469,food,72,9
4470,food,60,12
4471,food,50,3
4472,food,70,4
4473,food,30,6
4474,food,70,4
4475,food,12,5
4476,food,75,11
4477,food,70,9
4478,food,60,2
4479,food,70,2
4480,food,35,12
4481,food,65,6
4482,food,65,6
4483,food,35,11
4484,food,5,4
4485,food,0,11
4486,food,60,9
4487,food,70,9
4488,food,20,8
4489,food,75,7
4490,food,50,12
4491,food,15,7
4492,food,5,4
4493,food,72,10
4494,food,35,1
4495,food,10,1
4496,food,10,3
4497,food,30,4
4498,fitness,50,12
4499,fitness,60,12
4500,fitness,75,9
4501,fitness,65,11
4502,fitness,50,6
4503,fitness,10,6
4504,fitness,72,9
4505,fitness,0,2
4506,science,12,3
4507,science,75,6
4508,science,12,2
4509,science,35,12
4510,science,60,1
4511,science,10,6
4512,science,12,1
4513,science,20,9
4514,science,0,12
4515,science,65,2
4516,science,0,9
4517,science,70,3
4518,science,72,10
4519,science,70,1
4520,science,75,8
4521,science,72,12
4522,science,70,6
4523,science,65,9
4524,science,10,3
4525,science,35,11
4526,science,45,7
4527,science,30,10
4528,cooking,70,2
4529,cooking,70,3
4530,cooking,20,7
4531,cooking,75,10
4532,cooking,72,6
4533,cooking,60,11
4534,cooking,50,8
4535,cooking,72,1
4536,cooking,65,8
4537,cooking,50,3
4538,cooking,35,8
4539,cooking,45,2
4540,cooking,72,10
4541,cooking,15,12
4542,cooking,30,6
4543,cooking,70,12
4544,cooking,10,5
4545,cooking,75,5
4546,cooking,70,10
4547,cooking,10,9
4548,cooking,75,2
4549,cooking,45,11
4550,cooking,30,3
4551,cooking,5,1
4552,cooking,60,7
4553,cooking,30,9
4554,cooking,45,2
4555,cooking,35,7
4556,cooking,5,8
4557,cooking,70,7
4558,cooking,70,7
4559,cooking,70,7
4560,cooking,30,10
4561,cooking,70,4
4562,cooking,35,11
4563,cooking,5,8
4564,cooking,30,8
4565,cooking,15,5
4566,cooking,50,12
4567,cooking,15,3
4568,cooking,75,6
4569,cooking,60,9
4570,cooking,75,5
4571,cooking,0,12
4572,cooking,20,4
4573,cooking,15,6
4574,cooking,10,12
4575,cooking,35,5
4576,cooking,50,9
4577,cooking,50,8
4578,cooking,30,10
4579,cooking,65,8
4580,cooking,0,12
4581,cooking,15,2
4582,cooking,30,8
4583,cooking,12,6
4584,cooking,15,12
4585,cooking,0,6
4586,cooking,60,8
4587,cooking,72,9
4588,cooking,60,11
4589,cooking,75,2
4590,cooking,35,2
4591,public speaking,15,12
4592,public speaking,35,7
4593,public speaking,70,9
4594,public speaking,60,2
4595,public speaking,5,9
4596,public speaking,10,8
4597,public speaking,60,11
4598,public speaking,10,4
4599,public speaking,75,9
4600,public speaking,15,12
4601,public speaking,50,5
4602,public speaking,70,10
4603,public speaking,35,10
4604,public speaking,45,12
4605,public speaking,70,3
4606,public speaking,50,3
4607,public speaking,60,4
4608,public speaking,45,3
4609,public speaking,65,11
4610,public speaking,30,7
4611,public speaking,0,11
4612,public speaking,12,5
4613,public speaking,75,3
4614,studying,72,6
4615,studying,70,7
4616,studying,72,9
4617,studying,70,11
4618,studying,60,11
4619,studying,0,10
4620,studying,70,7
4621,studying,45,12
4622,studying,70,3
4623,studying,60,10
4624,studying,10,5
4625,studying,5,10
4626,studying,65,1
4627,studying,50,10
4628,studying,50,3
4629,studying,70,5
4630,studying,70,2
4631,studying,15,11
4632,studying,65,7
4633,studying,72,12
4634,studying,5,6
4635,studying,50,3
4636,studying,0,4
4637,studying,50,1
4638,studying,70,4
4639,studying,5,4
4640,studying,50,1
4641,studying,20,7
4642,studying,70,11
4643,studying,12,11
4644,studying,50,4
4645,studying,15,4
4646,studying,10,11
4647,studying,20,10
4648,studying,75,6
4649,studying,72,7
4650,studying,12,7
4651,studying,50,2
4652,studying,5,1
4653,studying,15,2
4654,healthy eating,72,12
4655,healthy eating,70,11
4656,healthy eating,70,10
4657,healthy eating,20,3
4658,healthy eating,30,3
4659,healthy eating,65,5
4660,healthy eating,72,3
4661,healthy eating,60,3
4662,healthy eating,70,5
4663,healthy eating,12,4
4664,healthy eating,15,10
4665,healthy eating,15,12
4666,healthy eating,12,3
4667,healthy eating,45,5
4668,healthy eating,70,7
4669,healthy eating,12,5
4670,science,45,1
4671,science,70,4
4672,science,15,11
4673,science,10,12
4674,science,50,9
4675,science,30,9
4676,science,65,8
4677,science,75,5
4678,science,45,7
4679,science,15,3
4680,science,65,8
4681,science,35,8
4682,science,72,5
4683,science,65,10
4684,science,75,11
4685,science,12,6
4686,science,75,2
4687,science,50,5
4688,science,72,6
4689,science,45,1
4690,fitness,60,4
4691,fitness,70,10
4692,fitness,70,6
4693,fitness,20,8
4694,fitness,20,2
4695,fitness,35,7
4696,fitness,50,4
4697,fitness,0,2
4698,fitness,12,5
4699,fitness,12,5
4700,fitness,75,9
4701,fitness,35,11
4702,fitness,15,5
4703,fitness,15,9
4704,fitness,15,8
4705,fitness,72,12
4706,fitness,30,5
4707,fitness,30,8
4708,fitness,75,4
4709,fitness,45,5
4710,fitness,50,1
4711,animals,35,3
4712,animals,30,8
4713,animals,50,10
4714,animals,45,5
4715,animals,45,9
4716,animals,50,3
4717,animals,60,11
4718,animals,70,3
4719,animals,45,2
4720,animals,35,11
4721,animals,15,6
4722,animals,50,10
4723,animals,70,11
4724,animals,5,10
4725,animals,50,3
4726,animals,75,4
4727,animals,20,3
4728,animals,12,4
4729,animals,60,6
4730,animals,30,4
4731,animals,50,5
4732,animals,72,11
4733,animals,35,5
4734,animals,10,5
4735,animals,65,4
4736,animals,45,1
4737,animals,45,2
4738,animals,30,4
4739,animals,12,12
4740,animals,70,10
4741,animals,60,11
4742,animals,75,11
4743,animals,30,11
4744,animals,0,9
4745,animals,72,12
4746,animals,70,10
4747,animals,60,4
4748,animals,50,6
4749,animals,50,5
4750,animals,50,8
4751,animals,75,12
4752,animals,0,3
4753,animals,70,11
4754,animals,70,5
4755,travel,45,5
4756,travel,0,6
4757,travel,20,3
4758,travel,50,5
4759,travel,45,5
4760,travel,60,1
4761,travel,5,8
4762,travel,50,4
4763,travel,50,8
4764,travel,45,7
4765,travel,30,8
4766,travel,5,2
4767,travel,65,5
4768,travel,0,3
4769,travel,50,7
4770,travel,70,9
4771,travel,30,2
4772,travel,72,3
4773,travel,45,9
4774,food,70,12
4775,food,70,9
4776,food,45,10
4777,food,65,6
4778,food,70,10
4779,food,10,2
4780,food,12,7
4781,food,12,7
4782,food,20,2
4783,food,5,12
4784,food,0,10
4785,food,70,4
4786,food,65,5
4787,food,35,11
4788,food,70,8
4789,food,5,1
4790,food,65,3
4791,food,20,6
4792,food,65,8
4793,food,45,7
4794,food,75,4
4795,food,65,4
4796,food,45,7
4797,food,72,5
4798,food,50,10
4799,food,35,4
4800,food,60,5
4801,food,75,12
4802,food,20,10
4803,food,70,9
4804,food,20,4
4805,food,20,8
4806,food,70,11
4807,food,30,6
4808,food,70,1
4809,food,65,10
4810,food,75,2
4811,food,75,10
4812,food,50,2
4813,food,50,10
4814,food,72,2
4815,food,5,12
4816,food,60,7
4817,food,15,4
4818,food,15,6
4819,food,60,3
4820,soccer,60,2
4821,soccer,35,5
4822,soccer,70,11
4823,soccer,45,4
4824,soccer,65,6
4825,soccer,0,4
4826,soccer,60,1
4827,soccer,12,10
4828,soccer,5,10
4829,soccer,70,3
4830,soccer,35,6
4831,soccer,70,8
4832,soccer,60,9
4833,soccer,35,4
4834,soccer,10,12
4835,soccer,5,3
4836,soccer,0,11
4837,soccer,70,2
4838,soccer,70,1
4839,soccer,75,3
4840,soccer,5,11
4841,soccer,12,2
4842,soccer,15,3
4843,soccer,70,6
4844,soccer,75,5
4845,soccer,12,9
4846,soccer,0,12
4847,soccer,20,11
4848,soccer,60,1
4849,soccer,30,5
4850,soccer,72,1
4851,soccer,70,2
4852,soccer,20,4
4853,soccer,65,10
4854,soccer,60,11
4855,soccer,5,7
4856,soccer,20,4
4857,soccer,75,10
4858,soccer,5,10
4859,soccer,10,8
4860,dogs,60,2
4861,dogs,12,4
4862,dogs,20,5
4863,dogs,60,7
4864,dogs,50,1
4865,dogs,50,10
4866,dogs,70,10
4867,dogs,60,2
4868,dogs,75,11
4869,dogs,72,7
4870,dogs,75,7
4871,dogs,5,1
4872,dogs,15,9
4873,dogs,12,9
4874,dogs,15,11
4875,dogs,10,7
4876,dogs,5,7
4877,dogs,20,7
4878,dogs,35,11
4879,dogs,75,2
4880,dogs,70,8
4881,dogs,65,10
4882,dogs,35,5
4883,dogs,12,9
4884,dogs,5,8
4885,dogs,35,11
4886,dogs,50,11
4887,dogs,45,1
4888,dogs,72,2
4889,dogs,50,7
4890,dogs,70,7
4891,dogs,75,2
4892,dogs,5,4
4893,dogs,70,11
4894,dogs,45,8
4895,dogs,30,12
4896,dogs,10,6
4897,dogs,35,3
4898,dogs,20,7
4899,dogs,70,5
4900,dogs,70,2
4901,dogs,50,11
4902,dogs,65,10
4903,dogs,0,1
4904,dogs,72,9
4905,dogs,20,2
4906,dogs,72,5
4907,dogs,5,3
4908,tennis,35,8
4909,tennis,72,1
4910,tennis,15,1
4911,tennis,10,6
4912,tennis,5,1
4913,tennis,65,8
4914,tennis,65,10
4915,tennis,30,12
4916,tennis,72,9
4917,tennis,30,10
4918,tennis,5,3
4919,tennis,12,9
4920,tennis,50,12
4921,tennis,70,5
4922,tennis,65,3
4923,tennis,72,2
4924,tennis,75,3
4925,tennis,65,7
4926,tennis,20,12
4927,tennis,45,1
4928,tennis,72,5
4929,tennis,10,2
4930,tennis,35,3
4931,tennis,20,1
4932,tennis,15,1
4933,tennis,60,9
4934,tennis,15,4
4935,tennis,60,2
4936,tennis,5,12
4937,tennis,0,10
4938,tennis,65,5
4939,food,35,8
4940,food,75,3
4941,food,72,2
4942,food,0,3
4943,food,70,4
4944,food,20,5
4945,food,70,3
4946,food,30,6
4947,food,60,6
4948,food,12,6
4949,food,30,1
4950,food,70,6
4951,food,0,9
4952,food,10,12
4953,food,5,1
4954,food,70,12
4955,food,75,7
4956,food,12,2
4957,food,35,9
4958,food,15,11
4959,food,12,10
4960,food,60,10
4961,food,65,3
4962,food,70,1
4963,food,0,6
4964,food,75,6
4965,food,15,1
4966,food,10,11
4967,food,60,8
4968,food,72,6
4969,food,35,10
4970,food,20,10
4971,food,60,6
4972,food,65,9
4973,food,75,8
4974,food,30,5
4975,food,0,12
4976,food,10,5
4977,food,30,9
4978,food,12,10
4979,food,10,7
4980,tennis,30,7
4981,tennis,72,7
4982,tennis,70,12
4983,tennis,10,5
4984,tennis,50,11
4985,tennis,5,3
4986,tennis,10,4
4987,tennis,20,6
4988,tennis,45,10
4989,tennis,50,7
4990,tennis,12,6
4991,tennis,30,8
4992,tennis,70,4
4993,tennis,10,7
4994,tennis,60,5
4995,tennis,0,9
4996,tennis,35,4
4997,tennis,60,9
4998,tennis,50,4
4999,tennis,12,4
5000,tennis,20,3
5001,tennis,15,6
5002,tennis,20,6
5003,tennis,70,4
5004,tennis,70,1
5005,tennis,72,7
5006,tennis,72,11
5007,tennis,70,9
5008,tennis,72,4
5009,tennis,0,8
5010,tennis,60,4
5011,tennis,10,3
5012,tennis,10,3
5013,tennis,30,3
5014,tennis,50,4
5015,tennis,65,12
5016,tennis,60,11
5017,tennis,45,3
5018,tennis,15,2
5019,tennis,70,4
5020,tennis,65,10
5021,tennis,12,12
5022,tennis,75,5
5023,tennis,12,11
5024,tennis,0,3
5025,tennis,70,3
5026,tennis,10,6
5027,science,0,9
5028,science,70,10
5029,science,20,8
5030,science,65,1
5031,science,65,3
5032,science,5,10
5033,science,10,6
5034,science,0,7
5035,science,45,7
5036,science,15,5
5037,science,30,4
5038,science,50,1
5039,science,12,9
5040,science,12,3
5041,science,15,7
5042,science,50,12
5043,science,20,9
5044,science,30,7
5045,science,10,9
5046,science,45,6
5047,cooking,5,2
5048,cooking,65,6
5049,cooking,65,10
5050,cooking,65,7
5051,cooking,15,7
5052,cooking,70,3
5053,cooking,45,2
5054,cooking,30,1
5055,cooking,15,7
5056,cooking,15,11
5057,cooking,10,2
5058,cooking,12,8
5059,cooking,72,3
5060,cooking,20,11
5061,cooking,70,8
5062,cooking,75,5
5063,cooking,45,3
5064,cooking,30,4
5065,cooking,72,9
5066,cooking,50,10
5067,cooking,50,1
5068,cooking,15,6
5069,cooking,60,8
5070,cooking,30,3
5071,cooking,0,7
5072,cooking,0,9
5073,cooking,60,12
5074,cooking,65,3
5075,education,0,12
5076,education,65,1
5077,education,70,6
5078,education,5,8
5079,education,20,11
5080,education,12,12
5081,education,70,1
5082,education,5,11
5083,education,0,4
5084,education,0,8
5085,education,60,2
5086,education,20,9
5087,education,75,3
5088,education,60,12
5089,education,45,8
5090,education,0,7
5091,education,5,7
5092,education,72,10
5093,education,45,7
5094,education,35,6
5095,education,65,4
5096,education,65,5
5097,education,20,8
5098,education,12,12
5099,education,35,2
5100,education,35,2
5101,education,12,1
5102,education,65,10
5103,education,50,6
5104,education,70,1
5105,education,15,2
5106,education,35,12
5107,education,72,3
5108,education,20,4
5109,education,35,8
5110,education,10,4
5111,education,65,10
5112,education,60,6
5113,education,10,4
5114,education,35,8
5115,education,15,8
5116,education,12,5
5117,education,70,3
5118,education,70,8
5119,education,0,1
5120,education,70,10
5121,education,65,12
5122,education,50,8
5123,soccer,75,10
5124,soccer,35,11
5125,soccer,75,2
5126,soccer,70,3
5127,soccer,0,7
5128,soccer,65,4
5129,soccer,45,9
5130,soccer,70,7
5131,soccer,20,9
5132,soccer,50,3
5133,soccer,70,10
5134,soccer,45,5
5135,soccer,50,9
5136,soccer,30,5
5137,soccer,70,9
5138,soccer,75,12
5139,soccer,30,9
5140,soccer,5,6
5141,soccer,72,8
5142,soccer,5,9
5143,soccer,70,6
5144,soccer,20,12
5145,soccer,15,4
5146,soccer,5,8
5147,soccer,70,7
5148,soccer,50,7
5149,soccer,12,3
5150,soccer,35,12
5151,soccer,0,8
5152,soccer,70,12
5153,soccer,12,8
5154,food,45,10
5155,food,60,4
5156,food,0,11
5157,food,20,10
5158,food,60,3
5159,food,10,10
5160,food,45,6
5161,food,75,8
5162,food,30,1
5163,food,70,10
5164,food,70,10
5165,food,12,10
5166,food,60,4
5167,food,70,11
5168,food,75,2
5169,food,15,10
5170,food,75,4
5171,food,70,9
5172,food,70,3
5173,food,15,5
5174,food,12,4
5175,food,35,2
5176,food,70,6
5177,food,50,8
5178,food,5,6
5179,food,70,9
5180,food,10,4
5181,food,15,8
5182,food,50,11
5183,food,60,7
5184,travel,70,11
5185,travel,60,8
5186,travel,30,4
5187,travel,70,12
5188,travel,12,9
5189,travel,45,10
5190,travel,35,5
5191,travel,35,5
5192,travel,12,6
5193,travel,65,3
5194,travel,60,9
5195,travel,70,11
5196,travel,75,5
5197,travel,45,11
5198,travel,75,12
5199,travel,12,10
5200,travel,75,4
5201,travel,70,6
5202,travel,10,7
5203,travel,45,11
5204,travel,50,12
5205,travel,20,5
5206,travel,30,2
5207,travel,70,11
5208,travel,65,7
5209,travel,60,12
5210,travel,70,3
5211,travel,20,4
5212,travel,15,8
5213,travel,72,9
5214,travel,75,11
5215,travel,70,8
5216,travel,5,9
5217,travel,50,7
5218,travel,20,10
5219,travel,72,5
5220,travel,30,12
5221,travel,12,1
5222,travel,75,6
5223,travel,10,7
5224,travel,12,5
5225,travel,45,10
5226,travel,50,4
5227,travel,70,6
5228,travel,65,11
5229,travel,12,7
5230,travel,0,4
5231,travel,35,12
5232,travel,5,5
5233,travel,70,9
5234,travel,50,1
5235,travel,50,4
5236,travel,70,9
5237,travel,35,11
5238,travel,60,7
5239,travel,35,11
5240,travel,15,3
5241,travel,35,1
5242,travel,50,3
5243,travel,65,1
5244,travel,30,6
5245,travel,12,1
5246,travel,0,12
5247,travel,70,4
5248,travel,20,2
5249,travel,20,1
5250,travel,35,11
5251,travel,10,8
5252,travel,30,9
5253,travel,20,6
5254,travel,10,6
5255,travel,72,10
5256,travel,30,7
5257,animals,12,2
5258,animals,72,7
5259,animals,15,11
5260,animals,5,5
5261,animals,70,3
5262,animals,30,2
5263,animals,72,6
5264,animals,72,4
5265,animals,65,1
5266,animals,10,6
5267,animals,10,8
5268,animals,65,1
5269,animals,60,7
5270,animals,65,1
5271,animals,70,4
5272,animals,10,6
5273,animals,12,5
5274,animals,5,2
5275,animals,75,5
5276,animals,60,9
5277,animals,35,5
5278,animals,60,3
5279,animals,75,11
5280,animals,50,11
5281,animals,70,4
5282,animals,45,6
5283,animals,0,4
5284,animals,15,5
5285,animals,35,9
5286,dogs,70,9
5287,dogs,50,2
5288,dogs,10,11
5289,dogs,35,11
5290,dogs,50,11
5291,dogs,35,2
5292,dogs,45,10
5293,dogs,35,9
5294,dogs,72,6
5295,dogs,60,12
5296,dogs,15,12
5297,dogs,5,4
5298,dogs,5,9
5299,dogs,10,11
5300,dogs,15,3
5301,dogs,20,4
5302,dogs,60,3
5303,dogs,35,4
5304,dogs,65,8
5305,dogs,75,10
5306,dogs,30,3
5307,dogs,70,11
5308,dogs,15,11
5309,dogs,20,8
5310,dogs,0,5
5311,dogs,5,5
5312,dogs,35,11
5313,dogs,10,11
5314,education,12,8
5315,education,10,11
5316,education,30,4
5317,education,65,4
5318,education,35,9
5319,education,10,10
5320,education,30,2
5321,education,45,9
5322,education,75,2
5323,education,12,4
5324,education,72,1
5325,education,30,11
5326,veganism,65,11
5327,veganism,35,11
5328,veganism,72,12
5329,veganism,35,6
5330,veganism,35,7
5331,veganism,20,6
5332,veganism,70,7
5333,veganism,10,11
5334,veganism,72,12
5335,veganism,15,11
5336,veganism,72,7
5337,veganism,50,5
5338,veganism,12,11
5339,veganism,72,11
5340,veganism,65,7
5341,veganism,75,6
5342,veganism,35,11
5343,veganism,75,8
5344,veganism,72,12
5345,veganism,35,1
5346,veganism,15,5
5347,veganism,30,5
5348,veganism,50,4
5349,veganism,60,5
5350,veganism,12,1
5351,veganism,5,8
5352,veganism,10,1
5353,veganism,5,5
5354,veganism,70,4
5355,veganism,75,6
5356,veganism,5,8
5357,veganism,50,3
5358,veganism,12,12
5359,veganism,72,8
5360,veganism,0,10
5361,veganism,5,8
5362,animals,5,8
5363,animals,72,9
5364,animals,60,9
5365,animals,65,12
5366,animals,0,3
5367,animals,75,11
5368,animals,60,4
5369,animals,72,5
5370,animals,30,1
5371,animals,12,9
5372,animals,35,10
5373,animals,60,2
5374,animals,75,11
5375,animals,65,1
5376,animals,30,7
5377,animals,5,1
5378,animals,15,10
5379,animals,0,1
5380,animals,45,1
5381,animals,15,10
5382,animals,12,11
5383,animals,30,1
5384,animals,65,1
5385,animals,35,1
5386,animals,20,10
5387,animals,70,5
5388,animals,50,7
5389,animals,12,7
5390,animals,30,11
5391,fitness,15,2
5392,fitness,50,9
5393,fitness,15,6
5394,fitness,50,9
5395,fitness,10,4
5396,fitness,70,2
5397,fitness,0,4
5398,fitness,60,2
5399,fitness,12,11
5400,fitness,5,5
5401,fitness,70,7
5402,fitness,75,10
5403,fitness,20,9
5404,fitness,70,9
5405,fitness,5,5
5406,fitness,0,5
5407,fitness,5,12
5408,fitness,60,2
5409,fitness,5,10
5410,fitness,45,5
5411,fitness,70,2
5412,fitness,70,12
5413,education,70,3
5414,education,60,7
5415,education,30,10
5416,education,50,2
5417,education,12,2
5418,education,75,1
5419,education,70,2
5420,education,30,11
5421,education,20,5
5422,education,12,2
5423,education,75,5
5424,education,10,7
5425,education,60,11
5426,education,45,5
5427,education,72,8
5428,education,72,12
5429,education,35,8
5430,education,30,12
5431,education,15,6
5432,education,5,1
5433,education,50,1
5434,education,15,3
5435,education,70,11
5436,education,65,5
5437,education,5,2
5438,education,15,11
5439,education,75,11
5440,education,45,12
5441,public speaking,0,6
5442,public speaking,12,4
5443,public speaking,72,9
5444,public speaking,70,6
5445,public speaking,5,2
5446,public speaking,12,1
5447,public speaking,72,11
5448,public speaking,0,7
5449,public speaking,0,8
5450,public speaking,50,8
5451,public speaking,65,6
5452,public speaking,35,12
5453,public speaking,70,7
5454,public speaking,10,1
5455,public speaking,10,7
5456,public speaking,75,4
5457,public speaking,10,1
5458,public speaking,0,3
5459,public speaking,0,6
5460,public speaking,20,2
5461,public speaking,70,12
5462,cooking,12,10
5463,cooking,70,6
5464,cooking,20,8
5465,cooking,72,5
5466,cooking,15,7
5467,cooking,70,1
5468,cooking,20,7
5469,cooking,30,7
5470,cooking,15,9
5471,cooking,15,3
5472,cooking,65,9
5473,cooking,0,12
5474,cooking,75,11
5475,cooking,65,4
5476,cooking,75,5
5477,cooking,35,4
5478,cooking,50,9
5479,cooking,75,9
5480,cooking,50,5
5481,cooking,10,7
5482,cooking,5,12
5483,cooking,10,5
5484,cooking,30,9
5485,cooking,20,7
5486,cooking,35,9
5487,cooking,75,9
5488,cooking,75,4
5489,cooking,5,1
5490,cooking,20,10
5491,cooking,75,1
5492,cooking,60,11
5493,cooking,65,11
5494,cooking,50,7
5495,cooking,20,12
5496,cooking,15,3
5497,cooking,50,8
5498,cooking,50,5
5499,cooking,0,2
5500,cooking,70,11
5501,cooking,10,7
5502,cooking,45,7
5503,cooking,15,1
5504,cooking,60,1
5505,cooking,72,1
5506,cooking,50,6
5507,soccer,15,1
5508,soccer,35,5
5509,soccer,60,8
5510,soccer,65,9
5511,soccer,75,9
5512,soccer,35,2
5513,food,50,10
5514,food,35,1
5515,food,12,2
5516,food,70,3
5517,animals,60,9
5518,animals,45,11
5519,animals,12,11
5520,animals,72,11
5521,animals,35,11
5522,animals,60,6
5523,animals,70,11
5524,animals,60,1
5525,animals,60,9
5526,animals,75,8
5527,animals,5,2
5528,animals,10,6
5529,animals,75,11
5530,animals,5,12
5531,animals,5,11
5532,animals,70,10
5533,animals,15,6
5534,animals,45,5
5535,animals,50,9
5536,animals,0,3
5537,animals,65,3
5538,animals,75,7
5539,animals,65,9
5540,animals,0,7
5541,animals,65,11
5542,animals,45,3
5543,animals,60,5
5544,animals,30,6
5545,animals,70,4
5546,animals,20,9
5547,animals,70,7
5548,animals,20,12
5549,animals,0,8
5550,animals,50,9
5551,dogs,70,11
5552,dogs,60,6
5553,dogs,20,10
5554,education,35,7
5555,education,70,2
5556,education,75,5
5557,education,30,2
5558,education,60,9
5559,education,35,1
5560,education,35,11
5561,education,10,8
5562,education,65,5
5563,education,70,3
5564,education,70,10
5565,education,60,7
5566,education,70,12
5567,education,75,8
5568,education,72,4
5569,education,35,2
5570,education,65,8
5571,education,50,4
5572,education,65,12
5573,education,70,6
5574,education,10,9
5575,education,10,12
5576,education,0,10
5577,education,60,10
5578,education,60,4
5579,education,65,10
5580,education,30,4
5581,education,72,11
5582,education,12,7
5583,education,20,12
5584,education,65,2
5585,education,60,11
5586,education,12,8
5587,education,72,6
5588,fitness,75,3
5589,fitness,75,9
5590,fitness,75,12
5591,fitness,50,7
5592,fitness,50,12
5593,fitness,75,10
5594,fitness,60,4
5595,fitness,35,2
5596,fitness,65,4
5597,fitness,20,4
5598,fitness,30,7
5599,fitness,60,3
5600,healthy eating,12,10
5601,healthy eating,0,9
5602,healthy eating,30,12
5603,healthy eating,10,3
5604,healthy eating,15,7
5605,healthy eating,65,11
5606,healthy eating,0,8
5607,healthy eating,0,1
5608,healthy eating,12,5
5609,healthy eating,0,11
5610,healthy eating,75,8
5611,healthy eating,70,1
5612,healthy eating,20,10
5613,healthy eating,72,6
5614,healthy eating,10,10
5615,healthy eating,10,5
5616,healthy eating,0,12
5617,healthy eating,70,2
5618,healthy eating,50,11
5619,healthy eating,10,9
5620,healthy eating,5,11
5621,healthy eating,20,6
5622,healthy eating,12,7
5623,healthy eating,60,3
5624,healthy eating,50,9
5625,culture,30,3
5626,culture,35,1
5627,culture,30,11
5628,culture,10,7
5629,culture,60,3
5630,culture,10,1
5631,culture,10,8
5632,culture,72,1
5633,culture,5,11
5634,culture,50,5
5635,culture,50,11
5636,culture,12,5
5637,culture,15,8
5638,culture,30,5
5639,culture,12,11
5640,culture,72,8
5641,culture,65,10
5642,healthy eating,50,12
5643,healthy eating,5,1
5644,healthy eating,5,2
5645,healthy eating,60,5
5646,healthy eating,50,9
5647,healthy eating,45,9
5648,healthy eating,72,11
5649,healthy eating,72,9
5650,healthy eating,35,6
5651,healthy eating,45,7
5652,healthy eating,5,8
5653,healthy eating,5,5
5654,healthy eating,50,5
5655,healthy eating,50,5
5656,healthy eating,70,3
5657,healthy eating,50,2
5658,healthy eating,12,5
5659,healthy eating,70,3
5660,healthy eating,65,6
5661,healthy eating,5,2
5662,healthy eating,5,12
5663,healthy eating,75,3
5664,healthy eating,70,11
5665,healthy eating,65,9
5666,healthy eating,30,12
5667,healthy eating,20,2
5668,healthy eating,70,2
5669,healthy eating,10,7
5670,healthy eating,0,12
5671,healthy eating,30,2
5672,healthy eating,15,7
5673,healthy eating,70,1
5674,travel,10,8
5675,travel,50,5
5676,travel,50,2
5677,travel,70,3
5678,travel,65,12
5679,travel,10,11
5680,travel,5,5
5681,fitness,0,12
5682,fitness,72,8
5683,fitness,10,5
5684,fitness,12,7
5685,fitness,10,5
5686,fitness,75,1
5687,fitness,30,6
5688,fitness,15,10
5689,fitness,5,1
5690,fitness,72,12
5691,fitness,60,10
5692,fitness,50,6
5693,fitness,15,7
5694,fitness,75,2
5695,fitness,72,5
5696,fitness,15,12
5697,fitness,20,4
5698,fitness,75,12
5699,fitness,20,12
5700,fitness,10,11
5701,fitness,10,5
5702,fitness,72,7
5703,fitness,72,5
5704,fitness,35,7
5705,fitness,10,12
5706,fitness,35,3
5707,fitness,12,12
5708,fitness,65,7
5709,fitness,72,10
5710,fitness,75,5
5711,studying,70,4
5712,studying,5,11
5713,studying,60,9
5714,studying,65,12
5715,studying,0,10
5716,studying,70,8
5717,studying,75,6
5718,studying,35,2
5719,studying,70,5
5720,studying,65,3
5721,studying,72,6
5722,studying,0,6
5723,studying,10,10
5724,studying,70,10
5725,studying,60,7
5726,studying,70,8
5727,studying,0,5
5728,studying,75,4
5729,studying,12,2
5730,studying,70,12
5731,studying,5,1
5732,studying,45,1
5733,studying,65,9
5734,studying,70,12
5735,studying,50,3
5736,studying,50,1
5737,studying,12,5
5738,studying,65,5
5739,studying,70,1
5740,studying,5,9
5741,studying,65,5
5742,studying,30,11
5743,studying,50,5
5744,studying,5,10
5745,studying,12,8
5746,studying,75,1
5747,studying,35,6
5748,studying,20,2
5749,studying,45,2
5750,healthy eating,15,7
5751,healthy eating,12,10
5752,healthy eating,65,3
5753,healthy eating,70,11
5754,healthy eating,60,9
5755,healthy eating,5,7
5756,healthy eating,0,8
5757,healthy eating,15,8
5758,healthy eating,15,10
5759,healthy eating,75,2
5760,healthy eating,35,9
5761,healthy eating,30,5
5762,healthy eating,70,10
